0.004490940 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=49449 TCP_ACK=290927 reassemble
0.004496988 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=50897 TCP_ACK=290927 reassemble
0.004471003 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=52345 TCP_ACK=290927 reassemble
0.004494011 789 PCP=4 (R=0 F=1 LCID=000100 L=786) TCP_SEQ=53793 TCP_ACK=290927 opcua
0.000031275 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=293823 ack
0.000023534 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=296719 ack
0.000048780 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=299615 ack
0.000019084 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=302511 ack
0.000051671 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=305407 ack
0.000047095 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=308303 ack
0.000039112 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=311199 ack
0.000036212 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=314095 ack
0.000017781 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=316991 ack
0.000048487 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=319887 ack
0.000046899 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=322783 ack
0.000013010 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=325679 ack
0.000031159 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=328575 ack
0.000047268 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=331471 ack
0.000014868 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=334367 ack
0.000014771 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=54505 TCP_ACK=336259 ack
0.003653579 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=54505 TCP_ACK=336259 reassemble
0.003682057 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=55953 TCP_ACK=336259 reassemble
0.003685544 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=57401 TCP_ACK=336259 reassemble
